vendor_id,pickup_date,day_num,day_name,avg_distance,avg_fare,avg_tip,sum_duration_minutes,avg_duration_minutes,avg_speed_kmh,sum_passenger,avg_passenger,total_trip,total_revenue,min_transaction,max_transaction,std_transaction,is_weekend
2,2016-02-29,1,Monday,4.43,11.75,1.72,218387.05,12.4,20.17,35380.0,2.01,17608,262626.87,3.3,70.01,10.68,0
1,2016-02-29,1,Monday,4.26,11.58,1.65,192412.82,12.35,19.46,18385.0,1.18,15583,228027.6,3.3,70.34,10.21,0
1,2016-03-03,4,Thursday,4.09,11.77,1.73,255633.45,13.33,17.47,22825.0,1.19,19173,285580.94,3.8,71.79,9.94,0
2,2016-03-03,4,Thursday,4.16,11.82,1.75,296398.6,13.39,17.89,44796.0,2.02,22132,331231.34,3.8,72.38,10.03,0
2,2016-03-04,5,Friday,4.12,11.71,1.7,295047.92,13.32,17.68,44607.0,2.01,22144,327254.22,3.3,70.01,9.89,0
1,2016-03-04,5,Friday,4.02,11.61,1.65,253634.28,13.22,17.27,23551.0,1.23,19192,280662.03,3.3,70.0,9.65,0
1,2016-03-12,6,Saturday,4.28,11.72,1.52,249928.13,12.76,19.01,26918.0,1.37,19580,282175.62,3.8,70.34,9.47,1
2,2016-03-12,6,Saturday,4.38,11.79,1.52,289522.8,12.79,19.45,45897.0,2.03,22639,327678.77,3.3,70.34,9.76,1
1,2016-03-28,1,Monday,4.22,11.47,1.55,188833.92,12.23,19.17,19051.0,1.23,15435,222538.64,3.3,70.34,10.24,0
2,2016-03-28,1,Monday,4.44,11.77,1.63,216182.52,12.52,19.78,34511.0,2.0,17267,255955.46,3.8,70.01,10.62,0
1,2016-03-31,4,Thursday,4.19,12.09,1.74,247722.92,13.86,17.37,21904.0,1.23,17867,272151.87,3.3,71.19,10.03,0
2,2016-03-31,4,Thursday,4.36,12.33,1.75,280144.12,14.06,17.84,40468.0,2.03,19924,308831.0,3.8,71.21,10.44,0
1,2016-04-02,6,Saturday,4.1,11.58,1.52,251017.9,12.79,18.61,26513.0,1.35,19625,279622.16,3.3,70.01,9.1,1
